| date | open | last | high | low | volume | amount | exchange |
| 2025-08-11 | 8675.72 | 8744.25 | 8767.36 | 8663.77 | 125561 | 39664480000 | 1.20 |
| 2025-08-08 | 8681.1 | 8679.91 | 8725.44 | 8603.44 | 123132 | 38274490000 | 1.18 |
| 2025-08-07 | 8747.58 | 8701.98 | 8847.78 | 8683.49 | 152020 | 46336630000 | 1.45 |
| 2025-08-06 | 8809.94 | 8776.56 | 8876.89 | 8743.12 | 142972 | 42597160000 | 1.37 |
| 2025-08-05 | 8792.55 | 8806.2 | 8842.64 | 8739.86 | 146693 | 42992290000 | 1.40 |
| 2025-08-04 | 8710.77 | 8768.61 | 8768.8 | 8571.55 | 178569 | 53683690000 | 1.71 |
| 2025-08-01 | 8804.29 | 8752.88 | 8959.44 | 8714.76 | 182850 | 56842860000 | 1.75 |
| 2025-07-31 | 8913.48 | 8817.03 | 8988.02 | 8787.71 | 208406 | 64554200000 | 1.99 |
| 2025-07-30 | 8910.1 | 8959.68 | 9093.18 | 8873.77 | 232018 | 77171300000 | 2.22 |
| 2025-07-29 | 8802.69 | 8935.44 | 8977.28 | 8719.58 | 209015 | 71848180000 | 2 |
| 2025-07-28 | 8682.97 | 8754.28 | 8757.14 | 8673.46 | 157100 | 52588490000 | 1.50 |
| 2025-07-25 | 8634.73 | 8609.82 | 8742.94 | 8597.13 | 184192 | 55568110000 | 1.76 |
| 2025-07-24 | 8458.78 | 8633.14 | 8655.27 | 8458.78 | 209767 | 58156360000 | 2 |
| 2025-07-23 | 8452.48 | 8450.9 | 8545.74 | 8433.47 | 168748 | 49044000000 | 1.61 |
| 2025-07-22 | 8390.95 | 8452.1 | 8518.65 | 8383.48 | 153808 | 47766300000 | 1.47 |
| 2025-07-21 | 8418.73 | 8402.57 | 8418.73 | 8322.7 | 118697 | 37753830000 | 1.13 |
| 2025-07-18 | 8368.28 | 8432.39 | 8434.55 | 8338.9 | 117848 | 38537010000 | 1.13 |
| 2025-07-17 | 8226.52 | 8353.34 | 8353.56 | 8216.36 | 134887 | 41118800000 | 1.29 |
| 2025-07-16 | 8188.36 | 8227.72 | 8241.34 | 8175.13 | 140425 | 38182400000 | 1.34 |
| 2025-07-15 | 8171.82 | 8179.98 | 8210.98 | 8103.04 | 129127 | 37622840000 | 1.23 |
| 2025-07-14 | 8159.94 | 8171.24 | 8191.87 | 8135.81 | 112798 | 35178230000 | 1.08 |
| 2025-07-11 | 8106.44 | 8160.61 | 8216.07 | 8094.46 | 134131 | 41885140000 | 1.28 |
| 2025-07-10 | 8021.73 | 8066.29 | 8102.56 | 8020.86 | 114523 | 33142550000 | 1.09 |
| 2025-07-09 | 7956.67 | 8016.93 | 8072.51 | 7932.07 | 117678 | 35385530000 | 1.12 |
| 2025-07-08 | 7931.92 | 7973.5 | 8013.46 | 7930.89 | 104300 | 29495130000 | 1 |
| 2025-07-07 | 8048.41 | 7940.77 | 8061.03 | 7935.08 | 91732 | 27987700000 | 0.88 |
| 2025-07-04 | 8026.5 | 8043 | 8095.67 | 8002.89 | 112267 | 33016350000 | 1.07 |
